ProductA,ProductB,PairFrequency
"Half-Finger Gloves, M","HL Touring Frame - Yellow, 54",56
"LL Touring Frame - Blue, 44","Touring-1000 Blue, 46",8
Touring Tire,"Touring-2000 Blue, 60",12
"Sport-100 Helmet, Blue",Rear Derailleur,55
"Short-Sleeve Classic Jersey, S","Road-350-W Yellow, 48",125
"Long-Sleeve Logo Jersey, M","Road-350-W Yellow, 48",119
Rear Derailleur,"Touring-1000 Yellow, 50",53
"Touring-3000 Yellow, 44","Touring-2000 Blue, 50",78
"Half-Finger Gloves, M",HL Touring Seat/Saddle,68
"Long-Sleeve Logo Jersey, M","LL Mountain Frame - Silver, 52",57
"Women's Mountain Shorts, L","Mountain-500 Silver, 48",139
"Long-Sleeve Logo Jersey, XL",HL Bottom Bracket,52
AWC Logo Cap,"Road-750 Black, 48",180
"Mountain-200 Silver, 46","LL Mountain Frame - Black, 44",168
"Mountain-200 Silver, 46",Rear Derailleur,66
"Road-550-W Yellow, 44",Minipump,52
"Mountain-200 Silver, 42","Mountain-500 Black, 40",81
ML Mountain Handlebars,HL Mountain Pedal,210
"Sport-100 Helmet, Blue","Mountain-400-W Silver, 46",47
"Sport-100 Helmet, Red",ML Mountain Pedal,64
Hitch Rack - 4-Bike,"Mountain-500 Black, 44",62
"Long-Sleeve Logo Jersey, XL",HL Fork,57
"Men's Sports Shorts, L","Men's Bib-Shorts, S",110
"Road-650 Black, 44","Men's Sports Shorts, L",65
"Long-Sleeve Logo Jersey, XL","LL Road Frame - Red, 52",17
"Sport-100 Helmet, Red","HL Road Frame - Red, 48",22
"ML Road Frame-W - Yellow, 38","Men's Bib-Shorts, S",101
"HL Mountain Frame - Black, 42","Men's Sports Shorts, M",102
HL Mountain Rear Wheel,"Men's Bib-Shorts, M",125
ML Mountain Handlebars,"Half-Finger Gloves, M",188
"Road-250 Red, 52","ML Road Frame-W - Yellow, 48",107
"Long-Sleeve Logo Jersey, XL",HL Headset,52
"Sport-100 Helmet, Red",LL Fork,41
"Road-450 Red, 52","Road-650 Black, 52",198
"Sport-100 Helmet, Red","ML Road Frame - Red, 52",25
"Road-650 Black, 58","Road-650 Black, 48",183
"Road-150 Red, 48","Road-450 Red, 60",59
"Mountain-300 Black, 44","Mountain-300 Black, 48",191
AWC Logo Cap,HL Mountain Handlebars,117
"Short-Sleeve Classic Jersey, M","Touring-1000 Blue, 46",6
LL Touring Handlebars,Front Brakes,3
Touring Tire,"Touring-2000 Blue, 50",19
"Short-Sleeve Classic Jersey, M",Mountain Tire Tube,12
"Mountain-200 Silver, 46","Racing Socks, L",4
"Long-Sleeve Logo Jersey, L","HL Touring Frame - Yellow, 50",11
ML Mountain Handlebars,"LL Mountain Frame - Black, 40",3
Patch Kit/8 Patches,LL Bottom Bracket,33
"HL Mountain Frame - Silver, 42",LL Bottom Bracket,42
"Half-Finger Gloves, S","HL Touring Frame - Yellow, 54",52
Road Tire Tube,"Road-750 Black, 44",42
"HL Touring Frame - Blue, 54",Rear Derailleur,45
"HL Mountain Frame - Black, 42",LL Mountain Pedal,134
ML Mountain Seat/Saddle,"LL Mountain Frame - Silver, 40",114
"Mountain-200 Silver, 42",ML Crankset,19
"Short-Sleeve Classic Jersey, S",Front Brakes,72
"HL Road Frame - Red, 62",Patch Kit/8 Patches,37
"LL Road Frame - Red, 60",Cable Lock,120
"HL Road Frame - Red, 62","Men's Bib-Shorts, L",46
"Half-Finger Gloves, M",LL Mountain Pedal,83
"Mountain-200 Silver, 38","Mountain-500 Black, 44",104
"Long-Sleeve Logo Jersey, L","Mountain-500 Black, 44",60
"HL Mountain Frame - Silver, 42","ML Mountain Frame-W - Silver, 42",55
"Sport-100 Helmet, Red",ML Mountain Rear Wheel,134
"LL Road Frame - Black, 52","Women's Tights, L",148
"HL Mountain Frame - Black, 38",LL Mountain Front Wheel,100
"Mountain-200 Silver, 46","ML Mountain Frame - Black, 44",171
"ML Mountain Frame - Black, 48","Men's Sports Shorts, S",54
LL Road Rear Wheel,"Half-Finger Gloves, M",118
"Sport-100 Helmet, Red","Road-650 Red, 44",240
"Road-450 Red, 44","Road-650 Black, 48",73
"Sport-100 Helmet, Black","Full-Finger Gloves, S",73
AWC Logo Cap,"Full-Finger Gloves, L",177
"Road-650 Black, 60","Road-250 Black, 52",146
"Road-250 Red, 52","ML Road Frame-W - Yellow, 40",43
Touring Tire Tube,"Touring-1000 Yellow, 54",20
ML Touring Seat/Saddle,"Touring-3000 Yellow, 50",25
"LL Mountain Frame - Black, 40","Mountain-500 Silver, 44",4
"ML Mountain Frame-W - Silver, 46","LL Mountain Frame - Black, 40",5
"HL Mountain Frame - Silver, 46","LL Mountain Frame - Black, 48",65
ML Crankset,"Touring-2000 Blue, 50",1
"Short-Sleeve Classic Jersey, XL",Touring Tire,6
Rear Brakes,"LL Mountain Frame - Silver, 42",42
ML Crankset,HL Bottom Bracket,21
"Road-250 Black, 52","Road-350-W Yellow, 44",105
"LL Road Frame - Black, 52","Road-750 Black, 44",58
"HL Touring Frame - Yellow, 60","Touring-3000 Yellow, 54",84
"Long-Sleeve Logo Jersey, L",ML Touring Seat/Saddle,11
"Women's Mountain Shorts, L","Mountain-400-W Silver, 38",102
Front Brakes,"Touring-1000 Yellow, 54",79
"Racing Socks, L",Hitch Rack - 4-Bike,142
"Classic Vest, S",HL Crankset,84
"HL Mountain Frame - Black, 38",Front Derailleur,88
"Mountain-200 Black, 46",Chain,94
"LL Mountain Frame - Black, 48","Mountain-500 Black, 48",113
LL Mountain Seat/Saddle,"Mountain-500 Black, 48",115
"Women's Mountain Shorts, L","Mountain-500 Black, 48",131
"Mountain-200 Black, 38","Mountain-500 Silver, 44",120
Hydration Pack - 70 oz.,LL Mountain Pedal,86
"Women's Mountain Shorts, L",ML Mountain Pedal,122
"Mountain-300 Black, 38",HL Mountain Front Wheel,66
"Mountain-200 Silver, 42","ML Mountain Frame - Black, 44",169
"Road-250 Red, 52","Half-Finger Gloves, M",80
"Road-650 Black, 52","Men's Sports Shorts, L",72
"LL Road Frame - Red, 44","Half-Finger Gloves, L",52
"Short-Sleeve Classic Jersey, XL","Mountain-500 Black, 40",51
"HL Road Frame - Red, 48","LL Road Frame - Red, 44",13
"HL Road Frame - Red, 44","Road-650 Red, 58",29
"LL Road Frame - Red, 62",HL Road Rear Wheel,26
LL Headset,"Full-Finger Gloves, M",37
HL Fork,"Full-Finger Gloves, S",25
"Long-Sleeve Logo Jersey, M","Men's Sports Shorts, S",146
"Road-650 Red, 60","Road-650 Black, 60",317
"Sport-100 Helmet, Red","Road-650 Red, 52",202
"Long-Sleeve Logo Jersey, M","Road-650 Red, 44",223
"HL Road Frame - Red, 62","Road-450 Red, 44",12
"HL Road Frame - Red, 44","Road-650 Red, 60",83
"Long-Sleeve Logo Jersey, M","Mountain-200 Black, 42",184
"Sport-100 Helmet, Black","Touring-3000 Yellow, 58",41
"Long-Sleeve Logo Jersey, XL","Touring-2000 Blue, 60",48
"HL Touring Frame - Blue, 60",HL Crankset,27
Patch Kit/8 Patches,LL Road Tire,365
"HL Road Frame - Red, 44",LL Road Seat/Saddle,1
ML Crankset,"Touring-2000 Blue, 60",1
"Short-Sleeve Classic Jersey, L","Touring-1000 Yellow, 50",79
"Short-Sleeve Classic Jersey, XL","HL Touring Frame - Yellow, 60",53
"Half-Finger Gloves, M","LL Touring Frame - Yellow, 62",45
"LL Touring Frame - Blue, 54",HL Touring Handlebars,44
"Half-Finger Gloves, M","HL Touring Frame - Blue, 50",17
"HL Mountain Frame - Silver, 42","LL Mountain Frame - Black, 52",4
"Women's Mountain Shorts, L","Mountain-500 Silver, 42",141
"Mountain-200 Silver, 42","Mountain-500 Silver, 52",140
"Half-Finger Gloves, L","ML Mountain Frame-W - Silver, 42",32
HL Road Handlebars,"Short-Sleeve Classic Jersey, L",50
"Long-Sleeve Logo Jersey, XL","LL Touring Frame - Yellow, 50",38
"LL Touring Frame - Blue, 50","Touring-1000 Yellow, 60",93
HL Mountain Pedal,"Mountain-500 Black, 48",129
"Sport-100 Helmet, Blue","Mountain-500 Silver, 44",67
"Sport-100 Helmet, Red",HL Mountain Pedal,95
"Classic Vest, S","LL Mountain Frame - Black, 44",96
"Short-Sleeve Classic Jersey, L","Mountain-500 Black, 52",44
AWC Logo Cap,"LL Mountain Frame - Silver, 40",63
LL Headset,"Women's Tights, L",21
"HL Mountain Frame - Black, 38","Mountain-200 Silver, 38",194
"Mountain-300 Black, 44",HL Mountain Front Wheel,71
"LL Road Frame - Black, 60","Road-650 Black, 62",16
"HL Road Frame - Red, 62","Road-550-W Yellow, 48",124
"Sport-100 Helmet, Black","Road-250 Red, 58",124
"Sport-100 Helmet, Blue",HL Mountain Handlebars,114
"Mountain-200 Silver, 42","Men's Bib-Shorts, S",85
LL Road Rear Wheel,"ML Road Frame-W - Yellow, 48",155
"Road-650 Black, 58","Road-250 Red, 52",152
"HL Road Frame - Red, 48",LL Road Handlebars,34
"Mountain-200 Black, 46",ML Mountain Front Wheel,96
Mountain Tire Tube,"Mountain-400-W Silver, 46",16
"Road-450 Red, 44","Road-450 Red, 48",62
"Road-550-W Yellow, 48",Hydration Pack - 70 oz.,97
"ML Road Frame-W - Yellow, 44","Road-750 Black, 58",133
ML Mountain Handlebars,"Mountain-500 Black, 44",100
"Short-Sleeve Classic Jersey, L","HL Touring Frame - Yellow, 46",11
LL Touring Handlebars,ML Crankset,3
"LL Road Frame - Red, 62","LL Road Frame - Black, 44",44
"LL Road Frame - Red, 44","LL Road Frame - Black, 44",45
Front Derailleur,"Touring-2000 Blue, 46",83
"Sport-100 Helmet, Red",ML Mountain Seat/Saddle,54
HL Mountain Seat/Saddle,"Mountain-400-W Silver, 42",58
"Half-Finger Gloves, M","LL Mountain Frame - Silver, 44",67
"Road-650 Black, 58","Road-250 Black, 52",146
"Road-250 Black, 52","ML Road Frame-W - Yellow, 48",190
"Short-Sleeve Classic Jersey, L",ML Mountain Pedal,64
"HL Touring Frame - Blue, 50","Touring-2000 Blue, 46",39
ML Crankset,"Mountain-500 Silver, 44",20
"Long-Sleeve Logo Jersey, L","Mountain-200 Silver, 46",239
"LL Road Frame - Red, 60","Road-550-W Yellow, 42",119
"Sport-100 Helmet, Black","LL Mountain Frame - Silver, 44",66
"Sport-100 Helmet, Black","Mountain-500 Silver, 44",66
"Road-250 Red, 52","Men's Bib-Shorts, M",90
"Long-Sleeve Logo Jersey, M",LL Crankset,60
"LL Touring Frame - Blue, 62","Touring-1000 Yellow, 46",3
LL Mountain Seat/Saddle,"ML Mountain Frame-W - Silver, 38",3
HL Road Front Wheel,Cable Lock,101
HL Touring Handlebars,LL Crankset,32
ML Touring Seat/Saddle,"Touring-3000 Blue, 62",1
Water Bottle - 30 oz.,Patch Kit/8 Patches,248
"Road-650 Red, 48",Cable Lock,122
Rear Brakes,"Touring-2000 Blue, 60",47
ML Crankset,HL Crankset,19
ML Headset,ML Mountain Rear Wheel,97
"Short-Sleeve Classic Jersey, S","Mountain-400-W Silver, 40",57
"Sport-100 Helmet, Black","ML Road Frame-W - Yellow, 38",187
"LL Road Frame - Black, 52",LL Road Handlebars,61
"Half-Finger Gloves, L","LL Mountain Frame - Black, 52",2
"LL Touring Frame - Blue, 62","Touring-3000 Blue, 58",4
AWC Logo Cap,"Touring-1000 Blue, 60",116
Front Brakes,"Touring-1000 Yellow, 60",119
"Women's Tights, S","Men's Bib-Shorts, S",205
"Sport-100 Helmet, Blue","Road-250 Red, 48",132
ML Mountain Handlebars,Hydration Pack - 70 oz.,98
"LL Road Frame - Red, 60","Road-650 Red, 60",311
"Road-550-W Yellow, 48","Classic Vest, M",96
"Classic Vest, M",LL Mountain Seat/Saddle,63
"Short-Sleeve Classic Jersey, S",LL Mountain Tire,2
"Road-550-W Yellow, 38","Road-350-W Yellow, 42",185
Rear Brakes,"Touring-1000 Blue, 54",47
"Touring-3000 Blue, 44",HL Bottom Bracket,67
"Half-Finger Gloves, L",HL Road Seat/Saddle,15
"Short-Sleeve Classic Jersey, M","Mountain-500 Black, 40",1
"HL Mountain Frame - Black, 38","ML Mountain Frame-W - Silver, 38",1
"Long-Sleeve Logo Jersey, XL","Mountain-100 Silver, 48",65
"Road-650 Black, 60",LL Road Rear Wheel,191
"HL Road Frame - Red, 44",HL Road Handlebars,145
"Short-Sleeve Classic Jersey, XL","Mountain-500 Black, 44",63
"HL Road Frame - Red, 44",LL Road Rear Wheel,71
"Long-Sleeve Logo Jersey, XL",LL Road Pedal,72
"Classic Vest, L","Road-750 Black, 48",6
"HL Mountain Frame - Silver, 42","HL Mountain Frame - Silver, 46",103
"LL Road Frame - Red, 44","Road-250 Black, 44",161
ML Headset,"Half-Finger Gloves, L",24
"LL Mountain Frame - Black, 48",ML Mountain Pedal,126
"LL Mountain Frame - Black, 42",Front Brakes,101
"Short-Sleeve Classic Jersey, XL",ML Mountain Pedal,69
"Half-Finger Gloves, M","Racing Socks, L",98
HL Touring Seat/Saddle,"Touring-2000 Blue, 60",142
"Classic Vest, M","ML Mountain Frame-W - Silver, 38",1
HL Road Front Wheel,"Men's Bib-Shorts, S",85
"Road-650 Red, 58","Half-Finger Gloves, M",51
"HL Road Frame - Red, 62","Road-750 Black, 58",67
"Long-Sleeve Logo Jersey, S",HL Mountain Tire,17
"ML Road Frame-W - Yellow, 38","Classic Vest, M",72
"Sport-100 Helmet, Red",Chain,70
Front Brakes,"Touring-2000 Blue, 60",117
"Sport-100 Helmet, Blue","Full-Finger Gloves, S",76
"Road-650 Red, 44",Minipump,132
HL Mountain Front Wheel,"Full-Finger Gloves, M",75
"Road-250 Red, 58","Short-Sleeve Classic Jersey, XL",50
AWC Logo Cap,"Road-650 Black, 62",137
LL Fork,HL Mountain Rear Wheel,68
"Half-Finger Gloves, M","Road-750 Black, 58",86
AWC Logo Cap,LL Crankset,68
Water Bottle - 30 oz.,HL Mountain Seat/Saddle,95
"Long-Sleeve Logo Jersey, M",HL Headset,53
ML Mountain Handlebars,"Classic Vest, M",96
"Sport-100 Helmet, Red","HL Touring Frame - Blue, 50",17
"Half-Finger Gloves, S","Mountain-500 Black, 40",23
"Road-450 Red, 58","Road-650 Black, 60",126
"Women's Mountain Shorts, L","LL Mountain Frame - Black, 42",131
Hitch Rack - 4-Bike,"Road-750 Black, 52",138
Water Bottle - 30 oz.,HL Road Pedal,126
HL Mountain Seat/Saddle,ML Crankset,20
"HL Touring Frame - Yellow, 54",Touring Pedal,49
"HL Road Frame - Red, 44","LL Road Frame - Red, 44",84
ML Road Rear Wheel,"HL Road Frame - Black, 44",17
"HL Mountain Frame - Silver, 38",Rear Brakes,39
"Women's Mountain Shorts, S","Short-Sleeve Classic Jersey, S",83
"Short-Sleeve Classic Jersey, XL","Touring-1000 Blue, 50",72
"Road-250 Red, 58","Road-350-W Yellow, 42",92
"Long-Sleeve Logo Jersey, M","Long-Sleeve Logo Jersey, L",672
"Road-650 Black, 60","Road-650 Black, 52",319
"Short-Sleeve Classic Jersey, L","LL Mountain Frame - Black, 42",63
"Long-Sleeve Logo Jersey, S","Road-250 Black, 44",2
"Road-150 Red, 48","Road-650 Black, 58",57
HL Road Handlebars,"ML Road Frame-W - Yellow, 38",196
"Touring-1000 Yellow, 54","Touring-2000 Blue, 50",75
LL Mountain Front Wheel,"Men's Sports Shorts, S",55
"Long-Sleeve Logo Jersey, XL","HL Mountain Frame - Black, 44",6
"LL Road Frame - Black, 58","Women's Tights, S",101
"Long-Sleeve Logo Jersey, L","LL Road Frame - Black, 58",214
"Touring-1000 Yellow, 46","Touring-1000 Blue, 54",89
Rear Derailleur,"Mountain-500 Black, 44",20
LL Mountain Rear Wheel,"Men's Bib-Shorts, M",84
"LL Road Frame - Black, 52","Road-250 Black, 58",138
"Touring-1000 Yellow, 46",LL Bottom Bracket,59
Bike Wash - Dissolver,"HL Touring Frame - Blue, 54",60
HL Crankset,"Touring-3000 Blue, 54",83
"Long-Sleeve Logo Jersey, M","Road-150 Red, 52",23
HL Fork,"Full-Finger Gloves, M",107
"Mountain-200 Silver, 42",HL Mountain Pedal,172
"Touring-3000 Blue, 54","Touring-3000 Yellow, 44",164
"Mountain-200 Silver, 46",Mountain Tire Tube,49
"LL Touring Frame - Blue, 44","Touring-2000 Blue, 54",7
"Mountain-200 Black, 38",Water Bottle - 30 oz.,222
ML Crankset,"Touring-3000 Yellow, 50",1
"LL Road Frame - Red, 52",HL Road Handlebars,24
"Racing Socks, L","Touring-1000 Yellow, 60",4
HL Mountain Pedal,"Mountain-500 Silver, 48",138
"Short-Sleeve Classic Jersey, XL","Touring-1000 Yellow, 50",77
"Long-Sleeve Logo Jersey, M",HL Bottom Bracket,70
"ML Mountain Frame-W - Silver, 42",HL Mountain Seat/Saddle,161
"ML Mountain Frame-W - Silver, 46","LL Mountain Frame - Silver, 42",50
AWC Logo Cap,"Mountain-100 Silver, 42",85
"Mountain-300 Black, 44",ML Headset,92
"Sport-100 Helmet, Blue","Short-Sleeve Classic Jersey, L",360
LL Mountain Rear Wheel,"Full-Finger Gloves, M",129
"Half-Finger Gloves, L",LL Crankset,30
"Men's Sports Shorts, S","Full-Finger Gloves, S",17
"ML Mountain Frame - Black, 44",Cable Lock,98
"Short-Sleeve Classic Jersey, XL","Touring-2000 Blue, 46",77
"Road-250 Black, 52","Road-550-W Yellow, 48",271
"LL Mountain Frame - Black, 40",LL Crankset,4
"LL Road Frame - Red, 60","Road-450 Red, 60",112
"HL Mountain Frame - Silver, 46","Mountain-200 Silver, 46",178
"Road-650 Black, 52","ML Road Frame-W - Yellow, 48",156
"LL Road Frame - Red, 62","Women's Tights, L",113
"Classic Vest, L",LL Mountain Tire,5
"Long-Sleeve Logo Jersey, M","LL Touring Frame - Yellow, 50",39
"Classic Vest, L","Touring-2000 Blue, 60",1
Front Brakes,"Touring-1000 Blue, 46",116
"HL Touring Frame - Yellow, 60","Touring-2000 Blue, 54",99
ML Mountain Front Wheel,"Men's Bib-Shorts, L",31
"Sport-100 Helmet, Black","Touring-3000 Blue, 62",41
"Mountain-400-W Silver, 46","Mountain-500 Silver, 42",73
"Long-Sleeve Logo Jersey, L","Full-Finger Gloves, L",175
Water Bottle - 30 oz.,LL Road Pedal,144
Patch Kit/8 Patches,"Touring-1000 Blue, 50",44
"LL Road Frame - Black, 60","LL Road Frame - Red, 60",18
Minipump,"Half-Finger Gloves, S",134
Patch Kit/8 Patches,"Mountain-400-W Silver, 38",19
"LL Touring Frame - Blue, 54",LL Touring Handlebars,16
"Half-Finger Gloves, M",Hydration Pack - 70 oz.,318
"Women's Mountain Shorts, S","Women's Mountain Shorts, L",269
"Long-Sleeve Logo Jersey, M","Mountain-200 Silver, 38",184
"LL Road Frame - Black, 52","Road-650 Black, 58",316
HL Touring Handlebars,LL Bottom Bracket,33
"ML Road Frame-W - Yellow, 38","Men's Sports Shorts, L",69
"Long-Sleeve Logo Jersey, XL",Touring Tire Tube,21
Chain,"Touring-1000 Yellow, 54",74
"HL Road Frame - Red, 48","Men's Bib-Shorts, S",11
Hitch Rack - 4-Bike,Bike Wash - Dissolver,394
"Mountain-200 Black, 38",HL Mountain Handlebars,176
Patch Kit/8 Patches,"Touring-3000 Blue, 50",37
"LL Mountain Frame - Silver, 48","Mountain-500 Black, 44",14
Hydration Pack - 70 oz.,"Mountain-500 Silver, 44",57
"LL Mountain Frame - Silver, 52","LL Mountain Frame - Black, 40",3
LL Mountain Handlebars,HL Mountain Rear Wheel,120
AWC Logo Cap,"ML Mountain Frame - Black, 40",17
"Sport-100 Helmet, Red",ML Road Tire,79
"Short-Sleeve Classic Jersey, S","Touring-1000 Yellow, 60",80
"LL Mountain Frame - Silver, 48","Mountain-500 Silver, 48",13
"HL Road Frame - Red, 48","Road-250 Red, 48",13
"Long-Sleeve Logo Jersey, S","Mountain-500 Silver, 52",2
LL Touring Seat/Saddle,HL Crankset,21
"Men's Sports Shorts, S","Half-Finger Gloves, M",146
"Long-Sleeve Logo Jersey, XL","Touring-1000 Yellow, 60",44
ML Mountain Seat/Saddle,Front Derailleur,90
"Long-Sleeve Logo Jersey, L","HL Mountain Frame - Black, 38",133
"Road-650 Red, 60","ML Road Frame-W - Yellow, 44",222
"Racing Socks, M",LL Road Tire,4
"LL Road Frame - Red, 60","Road-250 Black, 52",120
"Racing Socks, L",LL Road Pedal,242
"HL Touring Frame - Yellow, 60","Touring-3000 Blue, 54",99
AWC Logo Cap,"LL Mountain Frame - Black, 44",92
"Half-Finger Gloves, S","LL Mountain Frame - Black, 44",64
AWC Logo Cap,"HL Touring Frame - Blue, 46",17
"Road-250 Black, 44","Men's Sports Shorts, M",129
Hitch Rack - 4-Bike,"Mountain-400-W Silver, 40",74
Hydration Pack - 70 oz.,"ML Mountain Frame-W - Silver, 46",31
"Road-650 Black, 44","ML Road Frame-W - Yellow, 48",149
"Touring-1000 Yellow, 54","Touring-3000 Blue, 62",76
AWC Logo Cap,"LL Touring Frame - Yellow, 50",41
Bike Wash - Dissolver,"Touring-1000 Blue, 54",42
"Short-Sleeve Classic Jersey, L",HL Mountain Tire,7
"Sport-100 Helmet, Blue","Road-650 Black, 52",280
Water Bottle - 30 oz.,"Touring-1000 Blue, 60",139
"Long-Sleeve Logo Jersey, L",Mountain Bottle Cage,32
"Road-650 Black, 44","Half-Finger Gloves, L",51
Touring Tire,"Touring-1000 Blue, 46",19
"LL Touring Frame - Yellow, 62","Touring-1000 Yellow, 50",100
"Mountain-200 Black, 38","LL Mountain Frame - Silver, 40",128
"Sport-100 Helmet, Red","Road-250 Red, 58",105
"Sport-100 Helmet, Red","Sport-100 Helmet, Black",792
Water Bottle - 30 oz.,Rear Brakes,45
"Short-Sleeve Classic Jersey, XL",LL Mountain Pedal,90
"Road-650 Red, 52",ML Road Front Wheel,139
"Touring-1000 Yellow, 60","Touring-1000 Blue, 60",229
"Road-650 Black, 58","Road-550-W Yellow, 42",145
"Mountain-500 Black, 42",HL Bottom Bracket,33
"Touring-3000 Blue, 62",HL Bottom Bracket,69
HL Headset,"ML Mountain Frame - Black, 38",92
"HL Mountain Frame - Black, 42",LL Fork,65
Patch Kit/8 Patches,"HL Touring Frame - Yellow, 50",12
"Women's Mountain Shorts, S","LL Mountain Frame - Black, 40",3
"LL Road Frame - Black, 44","Road-650 Red, 48",45
"HL Touring Frame - Yellow, 50","Touring-3000 Yellow, 50",23
"LL Touring Frame - Blue, 44",LL Touring Seat/Saddle,9
"Sport-100 Helmet, Blue","Touring-3000 Blue, 62",39
"HL Road Frame - Red, 62","Road-250 Red, 58",31
LL Fork,LL Mountain Rear Wheel,33
"Road-550-W Yellow, 38",ML Road Tire,21
"HL Touring Frame - Blue, 54",Front Brakes,51
"ML Mountain Frame-W - Silver, 38","Mountain-500 Silver, 44",3
"LL Mountain Frame - Silver, 44","Mountain-500 Silver, 48",112
Rear Brakes,"Touring-3000 Blue, 58",41
"Mountain-300 Black, 44",LL Mountain Handlebars,117
LL Mountain Seat/Saddle,"LL Mountain Frame - Silver, 42",119
"Mountain-200 Silver, 38","Mountain-500 Silver, 44",113
"Long-Sleeve Logo Jersey, L","Mountain-400-W Silver, 38",53
"LL Touring Frame - Blue, 50",HL Crankset,18
"Road-650 Red, 60","Men's Bib-Shorts, S",113
"Road-650 Red, 62",HL Road Handlebars,92
"LL Road Frame - Black, 60","Men's Bib-Shorts, M",13
"Mountain-200 Black, 46",HL Bottom Bracket,87
"Short-Sleeve Classic Jersey, S","Touring-3000 Yellow, 62",74
ML Touring Seat/Saddle,"Touring-3000 Yellow, 44",24
"Long-Sleeve Logo Jersey, S","Women's Mountain Shorts, M",19
AWC Logo Cap,"LL Mountain Frame - Silver, 44",70
"LL Mountain Frame - Black, 48","Mountain-400-W Silver, 38",61
Bike Wash - Dissolver,"ML Mountain Frame-W - Silver, 42",90
"Mountain-400-W Silver, 38","Mountain-400-W Silver, 40",86
"Racing Socks, M","Mountain-400-W Silver, 38",3
Hydration Pack - 70 oz.,"Touring-1000 Yellow, 54",38
"Long-Sleeve Logo Jersey, L","HL Mountain Frame - Silver, 38",235
"LL Touring Frame - Yellow, 44","Touring-1000 Yellow, 50",91
"Sport-100 Helmet, Red","LL Road Frame - Black, 60",26
"LL Road Frame - Red, 44","Men's Bib-Shorts, S",102
"Road-250 Black, 58",LL Road Rear Wheel,96
"Short-Sleeve Classic Jersey, S",LL Road Pedal,106
"Long-Sleeve Logo Jersey, S",Road Bottle Cage,19
"Mountain-200 Silver, 38",HL Fork,105
"ML Mountain Frame - Black, 44","Men's Bib-Shorts, M",102
"HL Road Frame - Red, 62","Road-250 Red, 52",68
"Long-Sleeve Logo Jersey, M","Men's Bib-Shorts, L",160
"Long-Sleeve Logo Jersey, L",HL Mountain Handlebars,113
"Classic Vest, M","Mountain-500 Silver, 52",69
"LL Touring Frame - Blue, 54","LL Touring Frame - Blue, 58",2
"Sport-100 Helmet, Red",HL Road Tire,73
Hitch Rack - 4-Bike,"Touring-3000 Blue, 62",40
"Long-Sleeve Logo Jersey, XL","Mountain-100 Silver, 42",66
"Touring-1000 Yellow, 50","Touring-1000 Blue, 60",154
All-Purpose Bike Stand,"Touring-1000 Blue, 50",1
"ML Mountain Frame-W - Silver, 42",Rear Brakes,40
"Road-650 Black, 48","Women's Tights, L",82
Touring Pedal,HL Crankset,29
"Short-Sleeve Classic Jersey, XL","Mountain-500 Silver, 48",80
"ML Road Frame-W - Yellow, 48",Cable Lock,107
"Sport-100 Helmet, Blue","Women's Mountain Shorts, S",104
"Classic Vest, L","Touring-1000 Blue, 46",1
Rear Brakes,Chain,78
"LL Road Frame - Black, 60",Bike Wash - Dissolver,13
"Road-550-W Yellow, 44","HL Road Frame - Black, 44",30
"Half-Finger Gloves, L",ML Mountain Tire,13
"HL Touring Frame - Blue, 50","HL Touring Frame - Blue, 60",41
"LL Road Frame - Black, 52","Road-750 Black, 48",161
"Road-650 Red, 58","Road-550-W Yellow, 38",105
"HL Mountain Frame - Black, 42","Mountain-400-W Silver, 38",55
"Long-Sleeve Logo Jersey, M","LL Touring Frame - Blue, 54",35
"Half-Finger Gloves, M","LL Touring Frame - Yellow, 58",5
"LL Road Frame - Red, 52",ML Road Front Wheel,25
"Sport-100 Helmet, Red","Touring-1000 Yellow, 46",96
"Road-650 Black, 44","Men's Bib-Shorts, L",84
Road Bottle Cage,"Touring-1000 Yellow, 46",47
"LL Touring Frame - Yellow, 58","Touring-3000 Yellow, 54",13
HL Fork,"ML Mountain Frame - Black, 44",103
"Sport-100 Helmet, Red",Rear Derailleur,54
Patch Kit/8 Patches,"LL Touring Frame - Yellow, 62",31
"Short-Sleeve Classic Jersey, XL","HL Touring Frame - Yellow, 50",13
"HL Mountain Frame - Silver, 46","Mountain-500 Silver, 42",62
"LL Mountain Frame - Silver, 44","Mountain-500 Black, 44",84
"LL Touring Frame - Blue, 54","LL Touring Frame - Yellow, 44",68
"HL Touring Frame - Yellow, 60",Front Derailleur,28
Minipump,"Men's Sports Shorts, L",111
"Classic Vest, M","Racing Socks, L",106
"Mountain-200 Silver, 46","Men's Bib-Shorts, S",86
"LL Road Frame - Black, 52","Men's Bib-Shorts, L",92
"ML Road Frame-W - Yellow, 48","Racing Socks, M",89
"LL Touring Frame - Blue, 58","Touring-3000 Blue, 50",1
AWC Logo Cap,LL Road Pedal,149
"Road-250 Black, 52",Bike Wash - Dissolver,86
"Road-250 Black, 58","Short-Sleeve Classic Jersey, S",37
"Half-Finger Gloves, M",Rear Derailleur,55
"LL Road Frame - Black, 44","Men's Bib-Shorts, M",26
"Classic Vest, M",Front Derailleur,79
"HL Mountain Frame - Black, 44","HL Mountain Frame - Black, 38",4
"Sport-100 Helmet, Black","Mountain-300 Black, 48",109
"HL Mountain Frame - Silver, 46","Mountain-100 Silver, 44",50
